file_id,true_label,held_out_load,nearest_class,true_class_distance,nearest_other_distance,distance_margin,distance_N,distance_B,distance_IR,distance_OR
B014_3,B,3,B,8.53324412306464,13.791871311255086,5.258627188190447,17.285341867285315,8.53324412306464,14.397363097117138,13.791871311255086
B021_3,B,3,B,17.766937818167722,22.05210679290294,4.2851689747352175,25.690384454292513,17.766937818167722,22.64575388223448,22.05210679290294
IR007_3,IR,3,IR,5.987884426721061,7.978474132572424,1.990589705851363,10.711164536861427,9.915712044822142,5.987884426721061,7.978474132572424
IR014_3,IR,3,N,121.30009092495294,118.44461064175178,-2.8554802832011603,118.44461064175178,119.18084276327801,121.30009092495294,121.4586318923279
IR021_3,IR,3,IR,6.566083011003301,7.06366046303875,0.4975774520354488,14.201946739435142,10.075589693190336,6.566083011003301,7.06366046303875
OR007@6_3,OR,3,OR,5.305314294779305,6.66036896640543,1.3550546716261254,13.922947041373142,11.068551046075369,6.66036896640543,5.305314294779305
OR014@6_3,OR,3,IR,5.603894819035845,4.862202993784726,-0.7416918252511184,11.123938132162092,7.009909986212969,4.862202993784726,5.603894819035845
OR021@6_3,OR,3,OR,6.27127312130065,7.990538306873972,1.719265185573322,14.312878319075574,8.59857987585593,7.990538306873972,6.27127312130065
OR007@12_3,OR,3,OR,2.8014440267856386,3.1204022250191703,0.31895819823353166,12.617193523292894,7.161585684839253,3.1204022250191703,2.8014440267856386
OR021@12_3,OR,3,OR,5.0505853107036405,6.484998813118013,1.4344135024143725,14.425205375363081,9.211671007012281,6.484998813118013,5.0505853107036405
OR007@3_3,OR,3,OR,4.100618195914508,4.8360498748571015,0.7354316789425939,12.399696105422711,9.379261968268285,4.8360498748571015,4.100618195914508
OR021@3_3,OR,3,IR,4.179166379868554,4.072136358222906,-0.1070300216456479,12.135005416031644,8.270237013157056,4.072136358222906,4.179166379868554
N_3,N,3,N,3.754225306167179,12.725774061931295,8.971548755764116,3.754225306167179,14.034449885926964,12.725774061931295,13.032528846413351
