model,file_id,true_label,n_wrong_seeds,n_seeds,most_common_wrong_label,mean_true_class_probability,mean_predicted_confidence,fault_size,fault_position,load,rpm
rbf_svm,OR014@6_1,OR,5,5,B,0.24360389152177722,0.6708364850868918,0014,Centered,1,1772.0
rbf_svm,OR014@6_2,OR,5,5,B,0.1916837556407526,0.714576262298219,0014,Centered,2,1749.0
rbf_svm,OR014@6_3,OR,5,5,B,0.2687776734619434,0.6037640599490535,0014,Centered,3,1723.0
logistic_regression,IR014_3,IR,4,5,N,0.1317042595442945,0.876254853746689,0014,,3,1726.0
mlp,IR021_0,IR,4,5,B,0.4048694139999999,0.64397694,0021,,0,1796.0
random_forest,B007_0,B,4,5,OR,0.43468165504668993,0.4829642068912302,0007,,0,1796.0
logistic_regression,B021_1,B,3,5,OR,0.5741063608153908,0.6321466811221196,0021,,1,1774.0
mlp,OR014@6_1,OR,3,5,B,0.5459388840000001,0.702186212,0014,Centered,1,1772.0
mlp,B021_1,B,1,5,IR,0.70771125,0.7249995539999999,0021,,1,1774.0
random_forest,IR014_2,IR,1,5,OR,0.5078480300681356,0.5086910508439244,0014,,2,1751.0
random_forest,OR014@6_3,OR,1,5,B,0.3539504516122724,0.3576742153079519,0014,Centered,3,1723.0
rbf_svm,N_1_(1772rpm),N,1,5,OR,0.5409532767744586,0.6001396731863734,,,1,1772.0
logistic_regression,B007_0,B,0,5,,0.5197219289820498,0.5197219289820498,0007,,0,1796.0
logistic_regression,B007_1,B,0,5,,0.8087580669203496,0.8087580669203496,0007,,1,1772.0
logistic_regression,B007_2,B,0,5,,0.655859682582635,0.655859682582635,0007,,2,1747.0
logistic_regression,B007_3,B,0,5,,0.8824779450777698,0.8824779450777698,0007,,3,1721.0
logistic_regression,B014_0,B,0,5,,0.8409230345215517,0.8409230345215517,0014,,0,1797.0
logistic_regression,B014_1,B,0,5,,0.910329541709688,0.910329541709688,0014,,1,1772.0
logistic_regression,B014_2,B,0,5,,0.9700457423829318,0.9700457423829318,0014,,2,1748.0
logistic_regression,B014_3,B,0,5,,0.95301969767794,0.95301969767794,0014,,3,1725.0
logistic_regression,B021_2,B,0,5,,0.9651105808225257,0.9651105808225257,0021,,2,1754.0
logistic_regression,B021_3,B,0,5,,0.996109570969173,0.996109570969173,0021,,3,1729.0
logistic_regression,IR007_0,IR,0,5,,0.7731284162870373,0.7731284162870373,0007,,0,1796.0
logistic_regression,IR007_1,IR,0,5,,0.9333493070575247,0.9333493070575247,0007,,1,1772.0
logistic_regression,IR007_2,IR,0,5,,0.9067916986863835,0.9067916986863835,0007,,2,1748.0
logistic_regression,IR007_3,IR,0,5,,0.8707846833110772,0.8707846833110772,0007,,3,1721.0
logistic_regression,IR014_1,IR,0,5,,0.7972916197579645,0.7972916197579645,0014,,1,1772.0
logistic_regression,IR014_2,IR,0,5,,0.764138208888467,0.764138208888467,0014,,2,1751.0
logistic_regression,IR021_0,IR,0,5,,0.7564535454493242,0.7564535454493242,0021,,0,1796.0
logistic_regression,IR021_1,IR,0,5,,0.7596758842620257,0.7596758842620257,0021,,1,1774.0
logistic_regression,IR021_2,IR,0,5,,0.85678456845014,0.85678456845014,0021,,2,1752.0
logistic_regression,IR021_3,IR,0,5,,0.857892644046465,0.857892644046465,0021,,3,1727.0
logistic_regression,N_0,N,0,5,,0.9494526943991618,0.9494526943991618,,,0,1796.0
logistic_regression,N_1_(1772rpm),N,0,5,,0.9707108902379492,0.9707108902379492,,,1,1772.0
logistic_regression,N_2_(1750rpm),N,0,5,,0.9821704994699336,0.9821704994699336,,,2,1750.0
logistic_regression,N_3,N,0,5,,0.9764000206183046,0.9764000206183046,,,3,1725.0
logistic_regression,OR007@12_0,OR,0,5,,0.7435186058178256,0.7435186058178256,0007,Opposite,0,1796.0
logistic_regression,OR007@12_1,OR,0,5,,0.6890522619847015,0.6890522619847015,0007,Opposite,1,1772.0
logistic_regression,OR007@12_2,OR,0,5,,0.7727215914097197,0.7727215914097197,0007,Opposite,2,1749.0
logistic_regression,OR007@12_3,OR,0,5,,0.6763102138010939,0.6763102138010939,0007,Opposite,3,1723.0
logistic_regression,OR007@3_0,OR,0,5,,0.8392536933195813,0.8392536933195813,0007,Orthogonal,0,1797.0
logistic_regression,OR007@3_1,OR,0,5,,0.8602420219684515,0.8602420219684515,0007,Orthogonal,1,1773.0
logistic_regression,OR007@3_2,OR,0,5,,0.8922315344512144,0.8922315344512144,0007,Orthogonal,2,1750.0
logistic_regression,OR007@3_3,OR,0,5,,0.8826031105872776,0.8826031105872776,0007,Orthogonal,3,1724.0
logistic_regression,OR007@6_0,OR,0,5,,0.9470162920212495,0.9470162920212495,0007,Centered,0,1796.0
logistic_regression,OR007@6_1,OR,0,5,,0.9458952302592349,0.9458952302592349,0007,Centered,1,1774.0
logistic_regression,OR007@6_2,OR,0,5,,0.9597138399537968,0.9597138399537968,0007,Centered,2,1750.0
logistic_regression,OR007@6_3,OR,0,5,,0.9310158898157577,0.9310158898157577,0007,Centered,3,1725.0
logistic_regression,OR021@12_0,OR,0,5,,0.7679697487041922,0.7679697487041922,0021,Opposite,0,1796.0
logistic_regression,OR021@12_1,OR,0,5,,0.858796253561904,0.858796253561904,0021,Opposite,1,1771.0
logistic_regression,OR021@12_2,OR,0,5,,0.9266761713935419,0.9266761713935419,0021,Opposite,2,1746.0
logistic_regression,OR021@12_3,OR,0,5,,0.8520475905788054,0.8520475905788054,0021,Opposite,3,1718.0
logistic_regression,OR021@3_0,OR,0,5,,0.7166347533604644,0.7166347533604644,0021,Orthogonal,0,1796.0
logistic_regression,OR021@3_1,OR,0,5,,0.8231204716231939,0.8231204716231939,0021,Orthogonal,1,1770.0
logistic_regression,OR021@3_2,OR,0,5,,0.8491569810191291,0.8491569810191291,0021,Orthogonal,2,1746.0
logistic_regression,OR021@3_3,OR,0,5,,0.7434381789289239,0.7434381789289239,0021,Orthogonal,3,1719.0
logistic_regression,OR021@6_0,OR,0,5,,0.8670751454336202,0.8670751454336202,0021,Centered,0,1796.0
logistic_regression,OR021@6_1,OR,0,5,,0.9377912064977227,0.9377912064977227,0021,Centered,1,1771.0
logistic_regression,OR021@6_2,OR,0,5,,0.9640304366067293,0.9640304366067293,0021,Centered,2,1747.0
logistic_regression,OR021@6_3,OR,0,5,,0.9308538096590766,0.9308538096590766,0021,Centered,3,1719.0
mlp,B007_0,B,0,5,,0.5986306100000001,0.5986306100000001,0007,,0,1796.0
mlp,B007_1,B,0,5,,0.7042534659999999,0.7042534659999999,0007,,1,1772.0
mlp,B007_2,B,0,5,,0.8944314099999999,0.8944314099999999,0007,,2,1747.0
mlp,B007_3,B,0,5,,0.8700064120000001,0.8700064120000001,0007,,3,1721.0
mlp,B014_0,B,0,5,,0.924038926,0.924038926,0014,,0,1797.0
mlp,B014_1,B,0,5,,0.8761662100000001,0.8761662100000001,0014,,1,1772.0
mlp,B014_2,B,0,5,,0.9877636799999999,0.9877636799999999,0014,,2,1748.0
mlp,B014_3,B,0,5,,0.947144468,0.947144468,0014,,3,1725.0
mlp,B021_0,B,0,5,,0.6597324399999999,0.6597324399999999,0021,,0,1797.0
mlp,B021_2,B,0,5,,0.9809896800000001,0.9809896800000001,0021,,2,1754.0
mlp,B021_3,B,0,5,,0.6974644759999999,0.6974644759999999,0021,,3,1729.0
mlp,IR007_0,IR,0,5,,0.9052957620000001,0.9052957620000001,0007,,0,1796.0
mlp,IR007_1,IR,0,5,,0.969715992,0.969715992,0007,,1,1772.0
mlp,IR007_2,IR,0,5,,0.9974031320000002,0.9974031320000002,0007,,2,1748.0
mlp,IR007_3,IR,0,5,,0.947803106,0.947803106,0007,,3,1721.0
mlp,IR014_1,IR,0,5,,0.904516726,0.904516726,0014,,1,1772.0
mlp,IR014_2,IR,0,5,,0.989026706,0.989026706,0014,,2,1751.0
mlp,IR014_3,IR,0,5,,0.6368284479999999,0.6368284479999999,0014,,3,1726.0
mlp,IR021_1,IR,0,5,,0.8388685539999999,0.8388685539999999,0021,,1,1774.0
mlp,IR021_2,IR,0,5,,0.9887511159999999,0.9887511159999999,0021,,2,1752.0
mlp,IR021_3,IR,0,5,,0.90497223,0.90497223,0021,,3,1727.0
mlp,N_0,N,0,5,,0.9121122500000001,0.9121122500000001,,,0,1796.0
mlp,N_1_(1772rpm),N,0,5,,0.989188062,0.989188062,,,1,1772.0
mlp,N_2_(1750rpm),N,0,5,,0.998183812,0.998183812,,,2,1750.0
mlp,N_3,N,0,5,,0.9882914140000001,0.9882914140000001,,,3,1725.0
mlp,OR007@12_0,OR,0,5,,0.919676752,0.919676752,0007,Opposite,0,1796.0
mlp,OR007@12_1,OR,0,5,,0.8315861,0.8315861,0007,Opposite,1,1772.0
mlp,OR007@12_2,OR,0,5,,0.9887330279999998,0.9887330279999998,0007,Opposite,2,1749.0
mlp,OR007@12_3,OR,0,5,,0.8750825560000001,0.8750825560000001,0007,Opposite,3,1723.0
mlp,OR007@3_0,OR,0,5,,0.951873502,0.951873502,0007,Orthogonal,0,1797.0
mlp,OR007@3_1,OR,0,5,,0.975709728,0.975709728,0007,Orthogonal,1,1773.0
mlp,OR007@3_2,OR,0,5,,0.9973011740000001,0.9973011740000001,0007,Orthogonal,2,1750.0
mlp,OR007@3_3,OR,0,5,,0.967074692,0.967074692,0007,Orthogonal,3,1724.0
mlp,OR007@6_0,OR,0,5,,0.931249148,0.931249148,0007,Centered,0,1796.0
mlp,OR007@6_1,OR,0,5,,0.97679058,0.97679058,0007,Centered,1,1774.0
mlp,OR007@6_2,OR,0,5,,0.9981359980000001,0.9981359980000001,0007,Centered,2,1750.0
mlp,OR007@6_3,OR,0,5,,0.966738422,0.966738422,0007,Centered,3,1725.0
mlp,OR014@6_2,OR,0,5,,0.707804312,0.707804312,0014,Centered,2,1749.0
mlp,OR021@12_0,OR,0,5,,0.8940164899999999,0.8940164899999999,0021,Opposite,0,1796.0
mlp,OR021@12_1,OR,0,5,,0.9552400560000001,0.9552400560000001,0021,Opposite,1,1771.0
mlp,OR021@12_2,OR,0,5,,0.9957166580000001,0.9957166580000001,0021,Opposite,2,1746.0
mlp,OR021@12_3,OR,0,5,,0.9156818939999999,0.9156818939999999,0021,Opposite,3,1718.0
mlp,OR021@3_0,OR,0,5,,0.882619562,0.882619562,0021,Orthogonal,0,1796.0
mlp,OR021@3_1,OR,0,5,,0.9687519339999999,0.9687519339999999,0021,Orthogonal,1,1770.0
mlp,OR021@3_2,OR,0,5,,0.998113412,0.998113412,0021,Orthogonal,2,1746.0
mlp,OR021@3_3,OR,0,5,,0.9422683380000001,0.9422683380000001,0021,Orthogonal,3,1719.0
mlp,OR021@6_0,OR,0,5,,0.9345598479999999,0.9345598479999999,0021,Centered,0,1796.0
mlp,OR021@6_1,OR,0,5,,0.9727809220000001,0.9727809220000001,0021,Centered,1,1771.0
mlp,OR021@6_2,OR,0,5,,0.9977167259999999,0.9977167259999999,0021,Centered,2,1747.0
mlp,OR021@6_3,OR,0,5,,0.95513648,0.95513648,0021,Centered,3,1719.0
random_forest,B007_1,B,0,5,,0.5265525442616066,0.5265525442616066,0007,,1,1772.0
random_forest,B007_2,B,0,5,,0.5333909235490302,0.5333909235490302,0007,,2,1747.0
random_forest,B007_3,B,0,5,,0.6627824755074813,0.6627824755074813,0007,,3,1721.0
random_forest,B014_0,B,0,5,,0.6559859996093043,0.6559859996093043,0014,,0,1797.0
random_forest,B014_1,B,0,5,,0.7565972980721309,0.7565972980721309,0014,,1,1772.0
random_forest,B014_2,B,0,5,,0.7003441611334281,0.7003441611334281,0014,,2,1748.0
random_forest,B014_3,B,0,5,,0.7670983527671824,0.7670983527671824,0014,,3,1725.0
random_forest,B021_0,B,0,5,,0.4922485992396329,0.4922485992396329,0021,,0,1797.0
random_forest,B021_1,B,0,5,,0.5918715230195895,0.5918715230195895,0021,,1,1774.0
random_forest,B021_2,B,0,5,,0.8021425444047978,0.8021425444047978,0021,,2,1754.0
random_forest,B021_3,B,0,5,,0.7288200846977249,0.7288200846977249,0021,,3,1729.0
random_forest,IR007_0,IR,0,5,,0.5760317058252536,0.5760317058252536,0007,,0,1796.0
random_forest,IR007_1,IR,0,5,,0.7752981643810873,0.7752981643810873,0007,,1,1772.0
random_forest,IR007_2,IR,0,5,,0.7726005310814292,0.7726005310814292,0007,,2,1748.0
random_forest,IR007_3,IR,0,5,,0.7224052516960127,0.7224052516960127,0007,,3,1721.0
random_forest,IR014_1,IR,0,5,,0.6586779631550602,0.6586779631550602,0014,,1,1772.0
random_forest,IR021_0,IR,0,5,,0.546267750321299,0.546267750321299,0021,,0,1796.0
random_forest,IR021_1,IR,0,5,,0.7293392863019332,0.7293392863019332,0021,,1,1774.0
random_forest,IR021_2,IR,0,5,,0.5784931028583422,0.5784931028583422,0021,,2,1752.0
random_forest,IR021_3,IR,0,5,,0.5800747917812555,0.5800747917812555,0021,,3,1727.0
random_forest,N_0,N,0,5,,0.5959577031098094,0.5959577031098094,,,0,1796.0
random_forest,N_1_(1772rpm),N,0,5,,0.7759906569816607,0.7759906569816607,,,1,1772.0
random_forest,N_2_(1750rpm),N,0,5,,0.7976917502124306,0.7976917502124306,,,2,1750.0
random_forest,N_3,N,0,5,,0.8456881904319792,0.8456881904319792,,,3,1725.0
random_forest,OR007@12_0,OR,0,5,,0.5679797413372044,0.5679797413372044,0007,Opposite,0,1796.0
random_forest,OR007@12_1,OR,0,5,,0.8214663752516312,0.8214663752516312,0007,Opposite,1,1772.0
random_forest,OR007@12_2,OR,0,5,,0.8462026064340286,0.8462026064340286,0007,Opposite,2,1749.0
random_forest,OR007@12_3,OR,0,5,,0.7263306426348894,0.7263306426348894,0007,Opposite,3,1723.0
random_forest,OR007@3_0,OR,0,5,,0.878420149856645,0.878420149856645,0007,Orthogonal,0,1797.0
random_forest,OR007@3_1,OR,0,5,,0.9233979332380725,0.9233979332380725,0007,Orthogonal,1,1773.0
random_forest,OR007@3_2,OR,0,5,,0.8143780426167959,0.8143780426167959,0007,Orthogonal,2,1750.0
random_forest,OR007@3_3,OR,0,5,,0.8691407927987548,0.8691407927987548,0007,Orthogonal,3,1724.0
random_forest,OR007@6_0,OR,0,5,,0.9004149901866689,0.9004149901866689,0007,Centered,0,1796.0
random_forest,OR007@6_1,OR,0,5,,0.9294184853055443,0.9294184853055443,0007,Centered,1,1774.0
random_forest,OR007@6_2,OR,0,5,,0.8378532139688291,0.8378532139688291,0007,Centered,2,1750.0
random_forest,OR007@6_3,OR,0,5,,0.837465637558914,0.837465637558914,0007,Centered,3,1725.0
random_forest,OR014@6_1,OR,0,5,,0.49620665454690893,0.49620665454690893,0014,Centered,1,1772.0
random_forest,OR021@12_0,OR,0,5,,0.8089658544490119,0.8089658544490119,0021,Opposite,0,1796.0
random_forest,OR021@12_1,OR,0,5,,0.8644286041409572,0.8644286041409572,0021,Opposite,1,1771.0
random_forest,OR021@12_2,OR,0,5,,0.9019652138059518,0.9019652138059518,0021,Opposite,2,1746.0
random_forest,OR021@12_3,OR,0,5,,0.8536490921118786,0.8536490921118786,0021,Opposite,3,1718.0
random_forest,OR021@3_0,OR,0,5,,0.7970843508984183,0.7970843508984183,0021,Orthogonal,0,1796.0
random_forest,OR021@3_1,OR,0,5,,0.8381997092705534,0.8381997092705534,0021,Orthogonal,1,1770.0
random_forest,OR021@3_2,OR,0,5,,0.8498375430743963,0.8498375430743963,0021,Orthogonal,2,1746.0
random_forest,OR021@3_3,OR,0,5,,0.7212753034721681,0.7212753034721681,0021,Orthogonal,3,1719.0
random_forest,OR021@6_0,OR,0,5,,0.8218907613820633,0.8218907613820633,0021,Centered,0,1796.0
random_forest,OR021@6_1,OR,0,5,,0.9207650567354904,0.9207650567354904,0021,Centered,1,1771.0
random_forest,OR021@6_2,OR,0,5,,0.8489360223046412,0.8489360223046412,0021,Centered,2,1747.0
random_forest,OR021@6_3,OR,0,5,,0.8634091623953071,0.8634091623953071,0021,Centered,3,1719.0
rbf_svm,B007_0,B,0,5,,0.6149699235422055,0.6149699235422055,0007,,0,1796.0
rbf_svm,B007_1,B,0,5,,0.761910539927519,0.761910539927519,0007,,1,1772.0
rbf_svm,B007_2,B,0,5,,0.683336500943875,0.683336500943875,0007,,2,1747.0
rbf_svm,B007_3,B,0,5,,0.7916299093552894,0.7916299093552894,0007,,3,1721.0
rbf_svm,B014_0,B,0,5,,0.5008979779360191,0.5008979779360191,0014,,0,1797.0
rbf_svm,B014_1,B,0,5,,0.6308759089141665,0.6308759089141665,0014,,1,1772.0
rbf_svm,B014_2,B,0,5,,0.5807179158316025,0.5807179158316025,0014,,2,1748.0
rbf_svm,B014_3,B,0,5,,0.7170200055763118,0.7170200055763118,0014,,3,1725.0
rbf_svm,B021_1,B,0,5,,0.5164020574619972,0.5164020574619972,0021,,1,1774.0
rbf_svm,B021_2,B,0,5,,0.7279885653301891,0.7279885653301891,0021,,2,1754.0
rbf_svm,B021_3,B,0,5,,0.46046599860014403,0.46046599860014403,0021,,3,1729.0
rbf_svm,IR007_0,IR,0,5,,0.8293750433663023,0.8293750433663023,0007,,0,1796.0
rbf_svm,IR007_1,IR,0,5,,0.9076953709919829,0.9076953709919829,0007,,1,1772.0
rbf_svm,IR007_2,IR,0,5,,0.8959563982924221,0.8959563982924221,0007,,2,1748.0
rbf_svm,IR007_3,IR,0,5,,0.783059683093118,0.783059683093118,0007,,3,1721.0
rbf_svm,IR014_1,IR,0,5,,0.7814572728942938,0.7814572728942938,0014,,1,1772.0
rbf_svm,IR014_2,IR,0,5,,0.7335022210257682,0.7335022210257682,0014,,2,1751.0
rbf_svm,IR021_0,IR,0,5,,0.8390152014605258,0.8390152014605258,0021,,0,1796.0
rbf_svm,IR021_1,IR,0,5,,0.8303905125981267,0.8303905125981267,0021,,1,1774.0
rbf_svm,IR021_2,IR,0,5,,0.9030440540031968,0.9030440540031968,0021,,2,1752.0
rbf_svm,IR021_3,IR,0,5,,0.8247798378454545,0.8247798378454545,0021,,3,1727.0
rbf_svm,N_2_(1750rpm),N,0,5,,0.8167930975754214,0.8167930975754214,,,2,1750.0
rbf_svm,N_3,N,0,5,,0.7421473410292888,0.7421473410292888,,,3,1725.0
rbf_svm,OR007@12_0,OR,0,5,,0.791308371393119,0.791308371393119,0007,Opposite,0,1796.0
rbf_svm,OR007@12_1,OR,0,5,,0.6604040923925916,0.6604040923925916,0007,Opposite,1,1772.0
rbf_svm,OR007@12_2,OR,0,5,,0.7536741375470919,0.7536741375470919,0007,Opposite,2,1749.0
rbf_svm,OR007@12_3,OR,0,5,,0.7406587444873286,0.7406587444873286,0007,Opposite,3,1723.0
rbf_svm,OR007@3_0,OR,0,5,,0.876862981237457,0.876862981237457,0007,Orthogonal,0,1797.0
rbf_svm,OR007@3_1,OR,0,5,,0.8638092204807185,0.8638092204807185,0007,Orthogonal,1,1773.0
rbf_svm,OR007@3_2,OR,0,5,,0.893173160779235,0.893173160779235,0007,Orthogonal,2,1750.0
rbf_svm,OR007@3_3,OR,0,5,,0.9172792585823102,0.9172792585823102,0007,Orthogonal,3,1724.0
rbf_svm,OR007@6_0,OR,0,5,,0.8445733225508258,0.8445733225508258,0007,Centered,0,1796.0
rbf_svm,OR007@6_1,OR,0,5,,0.8790792925925913,0.8790792925925913,0007,Centered,1,1774.0
rbf_svm,OR007@6_2,OR,0,5,,0.9140293668840732,0.9140293668840732,0007,Centered,2,1750.0
rbf_svm,OR007@6_3,OR,0,5,,0.9208060465499018,0.9208060465499018,0007,Centered,3,1725.0
rbf_svm,OR021@12_0,OR,0,5,,0.8456092320876862,0.8456092320876862,0021,Opposite,0,1796.0
rbf_svm,OR021@12_1,OR,0,5,,0.8790097147991605,0.8790097147991605,0021,Opposite,1,1771.0
rbf_svm,OR021@12_2,OR,0,5,,0.9084819413889006,0.9084819413889006,0021,Opposite,2,1746.0
rbf_svm,OR021@12_3,OR,0,5,,0.904811628962392,0.904811628962392,0021,Opposite,3,1718.0
rbf_svm,OR021@3_0,OR,0,5,,0.8170931686037284,0.8170931686037284,0021,Orthogonal,0,1796.0
rbf_svm,OR021@3_1,OR,0,5,,0.8720374510512864,0.8720374510512864,0021,Orthogonal,1,1770.0
rbf_svm,OR021@3_2,OR,0,5,,0.884794926147235,0.884794926147235,0021,Orthogonal,2,1746.0
rbf_svm,OR021@3_3,OR,0,5,,0.8997858508758725,0.8997858508758725,0021,Orthogonal,3,1719.0
rbf_svm,OR021@6_0,OR,0,5,,0.8342973056717209,0.8342973056717209,0021,Centered,0,1796.0
rbf_svm,OR021@6_1,OR,0,5,,0.878118219365934,0.878118219365934,0021,Centered,1,1771.0
rbf_svm,OR021@6_2,OR,0,5,,0.884347728515252,0.884347728515252,0021,Centered,2,1747.0
rbf_svm,OR021@6_3,OR,0,5,,0.9070765084681156,0.9070765084681156,0021,Centered,3,1719.0
