file_id,file_path,label,load,rpm,fault_size,fault_position,sampling_rate,signal_length,signal_variable
OR021@12_0,数据集/数据集/源域数据集/48kHz_DE_data/OR/Opposite/0021/OR021@12_0.mat,OR,0,1796.0,0021,Opposite,48000,130549,X262_DE_time
OR021@12_1,数据集/数据集/源域数据集/48kHz_DE_data/OR/Opposite/0021/OR021@12_1.mat,OR,1,1771.0,0021,Opposite,48000,192000,X263_DE_time
OR021@12_2,数据集/数据集/源域数据集/48kHz_DE_data/OR/Opposite/0021/OR021@12_2.mat,OR,2,1746.0,0021,Opposite,48000,192000,X264_DE_time
OR021@12_3,数据集/数据集/源域数据集/48kHz_DE_data/OR/Opposite/0021/OR021@12_3.mat,OR,3,1718.0,0021,Opposite,48000,192000,X265_DE_time
OR007@3_0,数据集/数据集/源域数据集/48kHz_DE_data/OR/Orthogonal/0007/OR007@3_0.mat,OR,0,1797.0,0007,Orthogonal,48000,124602,X148_DE_time
OR007@3_1,数据集/数据集/源域数据集/48kHz_DE_data/OR/Orthogonal/0007/OR007@3_1.mat,OR,1,1773.0,0007,Orthogonal,48000,192000,X149_DE_time
OR007@3_2,数据集/数据集/源域数据集/48kHz_DE_data/OR/Orthogonal/0007/OR007@3_2.mat,OR,2,1750.0,0007,Orthogonal,48000,192000,X150_DE_time
OR007@3_3,数据集/数据集/源域数据集/48kHz_DE_data/OR/Orthogonal/0007/OR007@3_3.mat,OR,3,1724.0,0007,Orthogonal,48000,192000,X151_DE_time
OR021@3_0,数据集/数据集/源域数据集/48kHz_DE_data/OR/Orthogonal/0021/OR021@3_0.mat,OR,0,1796.0,0021,Orthogonal,48000,128663,X250_DE_time
OR021@3_1,数据集/数据集/源域数据集/48kHz_DE_data/OR/Orthogonal/0021/OR021@3_1.mat,OR,1,1770.0,0021,Orthogonal,48000,192000,X251_DE_time
OR021@3_2,数据集/数据集/源域数据集/48kHz_DE_data/OR/Orthogonal/0021/OR021@3_2.mat,OR,2,1746.0,0021,Orthogonal,48000,192000,X252_DE_time
OR021@3_3,数据集/数据集/源域数据集/48kHz_DE_data/OR/Orthogonal/0021/OR021@3_3.mat,OR,3,1719.0,0021,Orthogonal,48000,192000,X253_DE_time
N_0,数据集/数据集/源域数据集/48kHz_Normal_data/N_0.mat,N,0,1796.0,,,48000,243938,X097_DE_time
N_1_(1772rpm),数据集/数据集/源域数据集/48kHz_Normal_data/N_1_(1772rpm).mat,N,1,1772.0,,,48000,384000,X098_DE_time
N_2_(1750rpm),数据集/数据集/源域数据集/48kHz_Normal_data/N_2_(1750rpm).mat,N,2,1750.0,,,48000,384000,X099_DE_time
N_3,数据集/数据集/源域数据集/48kHz_Normal_data/N_3.mat,N,3,1725.0,,,48000,384000,X100_DE_time
