file_id,method,predicted_label,confidence,window_vote_ratio,normalized_entropy,probability_margin,window_probability_std,prob_N,prob_B,prob_IR,prob_OR,epsilon
I,coral,OR,0.3265138360355392,0.5333333333333333,0.9145432568086362,0.00865505509613218,0.014075342067163826,0.06583939471414393,0.317858780939407,0.2897879883109096,0.3265138360355392,0.0001
J,coral,B,0.6612549142106109,1.0,0.6546711410935915,0.4834503792759553,0.05999443125759955,0.008402293788601632,0.6612549142106109,0.15253825706613194,0.1778045349346556,0.0001
K,coral,IR,0.49306405808494164,1.0,0.8667788794639094,0.223632285197428,0.017277700464363763,0.09122183265218259,0.14628233637536228,0.49306405808494164,0.26943177288751363,0.0001
L,coral,OR,0.366068721394862,1.0,0.9595868888636,0.11507214755900169,0.0020695971100726457,0.2509965738358603,0.13391911133453982,0.24901559343473784,0.366068721394862,0.0001
M,coral,IR,0.4877276947400123,1.0,0.8717990498659306,0.21260815959114177,0.013615699758707609,0.10198378286693945,0.13516898724417767,0.4877276947400123,0.27511953514887055,0.0001
N,coral,B,0.4987865316854317,0.9333333333333333,0.8141609427296674,0.2443194700275675,0.1318149023490093,0.02843345848183781,0.4987865316854317,0.2183129481748663,0.2544670616578642,0.0001
O,coral,OR,0.3665078325179219,1.0,0.9693345537219197,0.10382099142986029,0.004610306471277067,0.18026832140904359,0.19053700498497292,0.2626868410880616,0.3665078325179219,0.0001
P,coral,OR,0.3788358375741449,1.0,0.9419544338221345,0.07766168113985783,0.001556723409168199,0.3011741564342871,0.12072354004725797,0.19926646594431008,0.3788358375741449,0.0001
A,coral,IR,0.42640310132411424,1.0,0.9059769246225057,0.12928918435210285,0.0167881247263434,0.09285140807124967,0.18363157363262458,0.42640310132411424,0.2971139169720114,0.001
B,coral,OR,0.36247756728133906,1.0,0.9661556583079995,0.08155881076600568,0.007266401369789161,0.176116186622699,0.18048748958062863,0.2809187565153334,0.36247756728133906,0.001
C,coral,B,0.5002940631178053,1.0,0.7983535414761063,0.2523458549040357,0.05659179813588353,0.01895609420358942,0.5002940631178053,0.2479482082137696,0.23280163446483562,0.001
D,coral,OR,0.3802071753827506,1.0,0.9420316383354571,0.08106500836797159,0.0014592831714841973,0.299142167014779,0.12104044670481667,0.19961021089765374,0.3802071753827506,0.001
E,coral,B,0.6934832191434135,1.0,0.6104512029442662,0.5249687155181235,0.1031809521509722,0.004268679714942243,0.6934832191434135,0.16851450362529002,0.13373359751635425,0.001
F,coral,OR,0.3719211853644204,1.0,0.9491513142304849,0.08798786731247937,0.0018277518229492388,0.28393331805194105,0.12135851242096103,0.22278698416267756,0.3719211853644204,0.001
G,coral,OR,0.3625314678498296,1.0,0.9672697168592672,0.08621346131040958,0.004388687075437285,0.1897743262777371,0.17137619933301337,0.27631800653942,0.3625314678498296,0.001
H,coral,IR,0.37861684099371123,1.0,0.9356226747116245,0.05154682326352111,0.006491306655538337,0.15234548242948068,0.14196765884661802,0.37861684099371123,0.3270700177301901,0.001
I,coral,OR,0.3263626069676706,0.5333333333333333,0.9145151531946242,0.008114578531147998,0.014171836000008065,0.06582545705385122,0.3182480284365226,0.28956390754195566,0.3263626069676706,0.001
J,coral,B,0.6623081085942374,1.0,0.6535714228953425,0.48508677552090146,0.05999071771369174,0.00837928796813626,0.6623081085942374,0.15209127036429013,0.17722133307333593,0.001
K,coral,IR,0.4935721786681951,1.0,0.8664797824780451,0.22436408985186568,0.017317974421724124,0.09136423600465234,0.14585549651082308,0.4935721786681951,0.2692080888163294,0.001
L,coral,OR,0.3663226005794956,1.0,0.9594077459791986,0.11511573185544305,0.002081765004056885,0.25120686872405257,0.13367991935803356,0.2487906113384183,0.3663226005794956,0.001
M,coral,IR,0.4881545440256723,1.0,0.8715184114908529,0.21319521013989018,0.013650149267531563,0.10214669374427603,0.13473942834426944,0.4881545440256723,0.27495933388578214,0.001
N,coral,B,0.4991745202126128,0.9333333333333333,0.8139659050080891,0.2450371027052528,0.13208252292461653,0.02843348413934974,0.4991745202126128,0.21825457814067747,0.25413741750736,0.001
O,coral,OR,0.36672710461338714,1.0,0.9692679494550636,0.10417589823982948,0.004628679652875096,0.18040990467259815,0.19031178434045717,0.26255120637355767,0.36672710461338714,0.001
P,coral,OR,0.3792378442221541,1.0,0.941630423815355,0.07789779987037576,0.0015677470282318045,0.30134004435177836,0.12048086875876608,0.19894124266730134,0.3792378442221541,0.001
