file_id,z_00,z_01,z_02,z_03,z_04,z_05,z_06,z_07,z_08,z_09,z_10,z_11,z_12,z_13,z_14,z_15,z_16,z_17,z_18,z_19,z_20,z_21,z_22,z_23,z_24,z_25,z_26,z_27,z_28,z_29,z_30,z_31,label,load
IR007_3,-1.3817819,-2.1825788,-2.3423088,-0.29002485,1.8977734,1.1382557,1.1779042,2.219151,-1.767664,1.745121,-1.1454642,-1.8861687,-2.2338576,-0.41397253,1.4141948,2.5294015,1.3661488,1.9675128,-1.9232699,3.0199122,2.0735233,-0.48295814,-2.5402472,-2.718399,-0.9321609,0.56316113,3.0111213,-2.0557036,-2.4686525,-2.1618786,-1.4522461,-0.6282753,IR,3
IR014_0,-0.42299896,-2.381526,-1.7851558,-0.06633052,1.0323455,0.77541596,1.8263799,2.8557012,-2.1244845,1.3923657,-0.039695904,-1.9178551,-1.7825235,-0.88484263,1.5547986,2.89533,1.8271773,1.8781798,-1.7607118,2.2724729,2.0840194,0.031989183,-2.2593722,-2.1729512,-0.30705327,0.18664446,2.1204193,-2.1079354,-1.982092,-2.4234996,-2.374673,-0.97347575,IR,0
IR014_1,-0.4399162,-2.0982757,-2.1708345,-0.08689678,1.448952,0.90574557,1.5338885,2.725509,-2.1414092,1.9878417,-0.4300011,-2.627236,-2.2932765,-1.1140846,1.7692373,2.8866599,2.163714,1.6733085,-1.8345722,2.3437731,2.619066,-0.14158627,-2.5510566,-2.7795012,-0.61904746,0.18393593,2.6177704,-2.396179,-2.2988183,-2.592959,-2.2832456,-0.9027866,IR,1
IR014_2,-0.2832063,-2.0955987,-2.1281927,-0.19864164,1.2932122,0.8036273,1.6234366,2.7722318,-2.243435,2.0869958,-0.21102294,-2.7136776,-2.224126,-1.3058943,1.704506,2.950108,2.2269592,1.5397533,-1.7974358,2.176693,2.689697,-0.0836726,-2.2688513,-2.8130386,-0.47317788,0.19904701,2.6552186,-2.346966,-2.1515403,-2.785514,-2.4834158,-0.96461064,IR,2
IR014_3,-0.4127813,-2.0012867,-2.199636,-0.3288624,1.5112945,0.64889294,1.3206304,2.4063075,-2.0986216,2.0635192,-0.55025524,-2.6110814,-2.219349,-1.2128513,1.6181728,2.6181312,2.0827973,1.5604124,-1.8039733,2.1465693,2.4680798,-0.16643134,-2.2642436,-2.6631353,-0.5178137,0.028857136,2.7528667,-2.2261865,-2.1806571,-2.4369602,-2.1918356,-0.91478574,IR,3
IR021_0,-0.7670668,-2.1984527,-2.395874,-0.2311933,1.8866292,0.94526154,1.36627,2.261658,-1.6079562,1.17597,-1.0168147,-2.5244033,-2.3995461,-0.33392304,1.3774307,2.7713654,1.9231883,1.8724155,-1.9503825,3.1544807,2.127381,-0.4322043,-2.708612,-2.6185944,-0.5724824,0.042553086,2.9613838,-2.545536,-2.7287736,-2.45385,-1.4733387,-1.0549812,IR,0
IR021_1,-0.8167974,-2.4592721,-2.495161,-0.14699438,1.9157838,0.8659835,1.7214788,2.3669116,-1.7977962,1.31731,-0.7852074,-2.528792,-2.3892758,-0.6487275,1.3286704,3.221237,2.0270712,1.9291145,-2.1299288,3.2468207,2.514427,-0.61610115,-2.674996,-2.9154124,-0.582662,0.09176214,3.1808867,-2.63584,-2.6360257,-2.8225236,-1.8651083,-1.1302235,IR,1
IR021_2,-0.59070414,-2.5635898,-2.2312946,-0.13009931,1.9322518,0.6488821,1.871072,2.4324698,-2.0952325,1.4601599,-0.7594866,-2.723247,-2.4252412,-1.0018529,1.4362775,3.3637593,2.2206314,1.8343378,-2.2532783,3.0438292,2.7814133,-0.52459425,-2.6783137,-3.1487346,-0.48188418,0.031091657,3.2744653,-2.491182,-2.6214306,-2.8639996,-2.054542,-1.2657186,IR,2
IR021_3,-0.5093398,-2.6027815,-2.118348,-0.114006884,1.6163056,0.7203423,1.801267,2.6735816,-2.2853777,1.6004236,-0.6418562,-2.7995417,-2.344732,-1.1242621,1.4926832,3.2776945,2.204544,1.7556121,-2.1010683,2.7861083,2.8601391,-0.28477013,-2.5410933,-3.1230469,-0.39862165,0.25937817,3.0108678,-2.3064346,-2.5788047,-2.750301,-2.28127,-1.2287563,IR,3
N_0,2.617618,-0.9621688,0.9084478,-1.9749364,1.3267674,-1.9179846,-1.38232,3.0693567,2.5535593,-2.92082,-2.08738,-0.024246419,-1.4028143,2.5169578,0.72782385,-2.170075,2.712603,-1.9530555,-2.2230682,-2.1214657,-3.0726805,1.3131032,-1.6239392,2.5636642,2.4305158,-2.1091921,-2.372842,-1.6241164,-1.235021,2.8016796,1.1847483,-2.1461058,N,0
N_1_(1772rpm),2.2280974,-0.7397544,0.6837351,-1.8745277,1.3604609,-1.6029804,-1.9294705,3.0171282,2.859323,-2.833509,-2.102912,0.16356157,-1.5418555,2.8698688,0.8118881,-2.5035856,2.4346154,-1.8528504,-2.0938575,-1.9903537,-3.412713,1.3855493,-1.8067412,2.8068712,2.3443484,-1.9533459,-2.518341,-1.5020747,-1.2530218,3.0276997,1.538797,-1.9325672,N,1
N_2_(1750rpm),2.0386875,-0.7252732,0.57755005,-1.9400669,1.5497415,-1.6470125,-2.041043,3.0929756,2.7904818,-2.7658873,-2.1693494,0.09216394,-1.7455865,2.9491303,0.9495269,-2.4812286,2.421001,-1.6989232,-2.1171196,-1.782262,-3.453466,1.3611209,-1.9518262,2.6994946,2.225956,-2.0323424,-2.3630795,-1.5650351,-1.4473373,2.9716542,1.6074501,-1.9467784,N,2
N_3,1.8512359,-0.73865753,0.46523303,-1.9550374,1.658091,-1.6123539,-2.0797632,3.1180155,2.6928215,-2.6266217,-2.183016,0.035140753,-1.8313148,2.9145458,1.0169624,-2.3816032,2.330029,-1.5107175,-2.076617,-1.5918411,-3.3837552,1.3141948,-2.0354044,2.5670767,2.0829966,-2.011033,-2.2113879,-1.6050452,-1.5417359,2.8690712,1.6122388,-1.9388036,N,3
OR007@12_0,2.0339506,0.34171262,1.5972263,0.08169049,-2.478229,-1.8705773,2.3337626,-2.3980434,-0.20669228,-0.16763808,2.3578398,0.589636,2.5368938,-2.974606,-2.8378925,0.5436877,0.2829257,-1.0653896,1.0713354,-2.115351,2.2580802,0.50269413,3.6762373,0.95568126,1.0939907,1.2346308,-0.3097784,3.1999738,3.4646318,-0.5313815,-2.8090699,-2.072815,OR,0
OR007@12_1,1.8415449,0.07048739,1.2377651,0.0452854,-2.0692666,-1.6126907,2.3846843,-1.7943293,-0.57293636,0.124824956,2.1983573,0.22520116,2.076092,-2.8937604,-2.377617,0.7839499,0.5257457,-0.7228055,0.9469973,-1.7491391,2.4744725,0.555641,3.2388184,0.58343995,1.0765862,1.2281897,-0.0560048,2.6603744,2.8854709,-0.9397184,-3.0779617,-2.1373193,OR,1
OR007@12_2,1.8376812,0.2065518,1.3514225,0.10236825,-2.2796097,-1.6848371,2.4430282,-1.9312229,-0.58851606,0.11117314,2.2536077,0.42316058,2.239857,-2.948408,-2.5473492,0.67524576,0.33017486,-0.6789239,1.1666453,-1.9233744,2.4827523,0.5788446,3.4392078,0.7223073,1.0962981,1.239982,-0.05701696,2.8156192,3.1165617,-0.84067124,-3.1505299,-2.2024767,OR,2
OR007@12_3,1.6509882,0.32061806,1.4354929,0.16498487,-2.4056332,-1.8981103,2.364856,-2.308923,-0.59856176,0.160585,2.3277862,0.60523766,2.4060357,-3.0370305,-2.889916,0.6338102,-0.08975793,-0.5052828,1.264672,-2.1026323,2.5800717,0.528806,3.5275192,0.7723427,0.954537,1.3433392,0.014429824,3.182392,3.4475327,-0.55954266,-3.1131225,-2.0919025,OR,3
OR007@3_0,1.6907086,0.23792508,1.8794905,0.25039297,-2.5872128,-2.0439165,2.5066152,-2.5874548,-0.25538522,-0.16858096,2.289756,0.9375161,2.8046026,-2.9674041,-3.0272336,0.47229025,-0.16292334,-0.7736804,1.3402113,-2.047198,2.3261447,0.57719535,3.6281366,1.0238774,0.938474,1.5398632,-0.1859989,3.3053274,3.5572574,-0.29288018,-2.8726554,-2.1238985,OR,0
OR007@3_1,1.9461261,0.2697621,1.8792646,0.0932519,-2.5283797,-2.0775793,2.5494812,-2.6128573,-0.26872852,-0.13607053,2.4128642,0.81930494,2.8066354,-3.1047113,-3.056802,0.52407146,4.5784218e-05,-0.9051347,1.2232958,-2.1291976,2.4106095,0.64203215,3.7906508,1.0268573,1.0572942,1.5079414,-0.21546991,3.3489735,3.6553807,-0.4419115,-2.9621048,-2.1838706,OR,1
OR007@3_2,1.7765305,0.20816125,1.9676346,0.21488376,-2.6082456,-2.0924022,2.5623267,-2.5442874,-0.31463692,-0.18072562,2.3395383,0.9493767,2.856512,-3.0346265,-3.035238,0.49989727,-0.10531301,-0.8114891,1.3532255,-2.0678508,2.296551,0.6420698,3.702312,1.0661894,1.0111977,1.5070722,-0.16288754,3.2715383,3.5711906,-0.35191503,-2.9576344,-2.1933556,OR,2
OR007@3_3,1.773161,0.36745912,1.9753828,0.25487313,-2.5819325,-2.0597208,2.45335,-2.638886,-0.2588745,-0.15533951,2.354908,0.9747912,2.966324,-3.0541904,-3.1184733,0.45865783,-0.23552826,-0.7759128,1.38495,-2.148577,2.2994864,0.6344589,3.751278,1.146139,0.97520787,1.5602728,-0.3198237,3.4028964,3.6889522,-0.26579127,-2.8557973,-2.1330616,OR,3
OR007@6_0,2.127936,0.17551827,1.902913,0.052054692,-2.460873,-2.1056278,2.6894176,-2.3962998,-0.32710406,-0.05793982,2.4334376,0.69376266,2.7467635,-3.1976123,-2.8756337,0.5760671,0.12663849,-0.92808914,1.1492374,-2.081796,2.4605174,0.7584439,3.842876,0.859969,1.1919004,1.3602241,-0.08504332,3.078409,3.6070936,-0.7158944,-3.0533788,-2.35669,OR,0
OR007@6_1,2.2275121,0.24276067,1.923743,0.03934164,-2.4639373,-2.1285853,2.6635497,-2.4424202,-0.31260648,-0.06843142,2.510762,0.6539322,2.797821,-3.2678797,-2.9196098,0.58957034,0.16377468,-1.0125946,1.1148621,-2.1666129,2.4811635,0.7387352,3.9295363,0.902161,1.203451,1.3529764,-0.19208632,3.1580424,3.693463,-0.70707333,-3.0333657,-2.3457377,OR,1
OR007@6_2,2.1745822,0.2340029,1.9188204,0.08112388,-2.4634528,-2.1251366,2.6462102,-2.409371,-0.3204164,-0.072422795,2.4969554,0.6802696,2.8096826,-3.2348688,-2.9100685,0.5724088,0.112601705,-0.93050617,1.1517922,-2.147849,2.4831865,0.7154749,3.8817313,0.9065196,1.1593069,1.3491318,-0.17163397,3.128777,3.6825805,-0.6992254,-3.0377116,-2.344116,OR,2
OR007@6_3,2.242571,0.28594455,1.934218,0.080199495,-2.4653072,-2.1164057,2.6282763,-2.4269254,-0.30868584,-0.08161756,2.5366375,0.63975126,2.8461883,-3.2813213,-2.930816,0.58555126,0.14255847,-0.97842264,1.1265062,-2.1891024,2.494612,0.710921,3.9382994,0.9242629,1.1653435,1.3358386,-0.24802256,3.169181,3.7266567,-0.70267075,-3.008641,-2.3367953,OR,3
OR014@6_0,0.83793414,0.5123213,0.8402428,0.58741826,-2.1189864,-0.782649,1.4862175,-2.8011336,0.26093167,0.0373397,1.6447426,0.9635802,2.3859885,-1.4444692,-2.2124245,-0.18284914,-0.3906519,-0.4211422,1.7787406,-1.5281514,1.32053,-0.12432893,2.7167237,0.73354197,0.48517922,1.6622047,-0.63651425,3.2192235,2.9210992,-0.16254337,-1.5814806,-0.77315515,OR,0
OR014@6_1,1.8352567,0.61999893,0.42640686,0.5036328,-1.864976,-0.6970258,1.3009626,-2.199524,-0.2380548,0.051371206,2.0703084,0.27443913,2.2545083,-2.1882317,-1.9160362,0.42747894,0.35312605,-0.70186454,0.84734935,-1.3204881,1.9275115,-0.15625398,3.3754315,0.6364643,0.69090044,1.1245996,-1.1945564,2.7901576,2.9246204,-0.5858935,-1.6701592,-1.3030043,OR,1
OR014@6_2,2.266353,0.440313,1.0995914,0.2446263,-2.3266623,-1.0534189,1.8350341,-2.1188228,-0.33151054,-0.22725973,2.3867908,0.1584835,2.3968778,-2.748569,-2.2092764,0.70851004,0.62347734,-1.0325263,0.92380154,-1.7619102,2.030043,0.0709136,3.4294565,0.7969433,0.9310815,0.9488233,-0.9281542,2.9416919,3.032585,-0.82711124,-2.1936638,-1.5200106,OR,2
OR014@6_3,2.1535683,0.82269555,1.2674961,0.01230302,-2.641734,-1.0130532,1.9913172,-2.606425,0.6421285,-0.30502293,1.4606683,0.8508093,2.5121822,-2.38162,-2.530061,-0.25273153,0.57214165,-1.1357622,1.1164359,-2.2629712,1.5864936,0.26510322,3.371082,1.1972209,0.99397147,0.80288655,-0.7723877,3.2523189,3.2816253,-0.10191662,-2.0193431,-1.200359,OR,3
OR021@12_0,2.5496595,0.41430795,1.7354507,0.20160803,-2.501251,-1.6681912,2.7461555,-2.0296974,-0.50379133,0.10644865,2.3355353,0.43731752,2.6777906,-3.4600625,-2.5911398,0.8404529,0.5260452,-1.1703866,0.9723231,-2.1625903,2.4762478,0.73537976,3.8976521,0.7343067,1.2032748,1.0555865,-0.36877802,2.8974874,3.347532,-1.0186875,-3.0027056,-2.2086706,OR,0
OR021@12_1,2.4944837,0.33463475,1.6476786,0.18798368,-2.4562395,-1.6874338,2.6897414,-1.9430953,-0.5757579,0.15030763,2.3640678,0.35321254,2.523025,-3.4011915,-2.522291,0.90488607,0.5082645,-1.1110946,0.95069426,-2.1024234,2.5039241,0.7051937,3.8071895,0.6346989,1.1841925,1.0618881,-0.28297618,2.8031452,3.2835612,-1.0743719,-3.0320928,-2.251341,OR,1
OR021@12_2,2.4853845,0.32809833,1.5775877,0.16326627,-2.460571,-1.6775333,2.6247182,-1.9038669,-0.5790271,0.14249328,2.3614001,0.3540259,2.442463,-3.3577006,-2.508826,0.892663,0.48231143,-1.0753058,0.9744473,-2.1112907,2.5604136,0.70349187,3.7833617,0.6481546,1.1497908,1.107097,-0.27967095,2.7878973,3.2984958,-1.059019,-3.0182362,-2.2552829,OR,2
OR021@12_3,2.405747,0.21754369,1.4326979,0.14524181,-2.375047,-1.6408405,2.577171,-1.7100779,-0.65242106,0.21473882,2.315721,0.23858745,2.2228358,-3.252739,-2.3731606,0.96058446,0.5268567,-0.9883181,0.9091856,-1.9920717,2.5863876,0.71621865,3.6006362,0.53217226,1.1220307,1.0998157,-0.17099428,2.6154993,3.1332014,-1.1192907,-3.025282,-2.2669864,OR,3
OR021@3_0,1.326134,0.041961048,2.0597475,0.3128225,-2.3166826,-2.0478163,2.478034,-2.533853,-0.50224435,0.03736202,2.0948353,0.7775243,2.943632,-2.9179702,-2.8383322,0.6771231,-0.3227648,-0.53009534,1.2549614,-1.8299242,2.0334022,0.7355169,3.4132414,0.7559455,0.92984414,1.4656407,-0.12881877,3.2179608,3.2718909,-0.19574091,-2.6204097,-1.8806998,OR,0
OR021@3_1,1.7606833,0.43538836,1.8166949,0.33841795,-2.6951675,-1.8059214,2.6084087,-2.8763275,-0.44935867,-0.23001717,2.1888387,1.1261835,2.9867218,-3.009306,-3.0109575,0.58504826,-0.24391684,-0.83788294,1.3189019,-2.02037,2.326103,0.57123613,3.8360329,1.1835327,0.97430885,1.491398,-0.4279692,3.3267157,3.6690674,-0.1567152,-2.7185867,-2.0167515,OR,1
OR021@3_2,1.7305206,0.34983373,1.7954185,0.32281882,-2.7276044,-1.7836359,2.6217332,-2.824199,-0.53738457,-0.21245393,2.2071562,1.0993621,2.9295022,-3.0010855,-2.9638023,0.6721712,-0.23036024,-0.81761396,1.3264902,-1.94653,2.3310702,0.56172794,3.790792,1.1383771,0.9640004,1.4918367,-0.35719928,3.217758,3.6091805,-0.23424013,-2.7452552,-2.028554,OR,2
OR021@3_3,1.8313875,0.106471,2.072576,0.21163522,-2.6855695,-1.9956867,2.7802513,-2.5866745,-0.55755997,-0.24152188,2.291869,0.9161051,2.8880231,-3.137413,-2.9846976,0.7249006,-0.035416223,-1.011759,1.2129965,-2.031342,2.2071922,0.6832458,3.802438,1.0351118,1.1332611,1.292257,-0.21774252,3.1645129,3.5068815,-0.37475234,-2.8658109,-2.2330766,OR,3
OR021@6_0,2.5382972,0.41099063,1.9975932,0.31508973,-2.6682496,-1.8334175,2.7430656,-2.2508588,-0.23903787,-0.20007823,2.2439082,0.5430669,2.9589632,-3.3209968,-2.7566211,0.5899652,0.39037398,-1.276391,1.0347205,-2.188418,2.2425513,0.82517284,3.9947886,0.93850195,1.3190333,0.9704658,-0.496533,3.0173745,3.5383277,-0.74610794,-2.805589,-2.314883,OR,0
OR021@6_1,2.5332248,0.35562745,1.9781026,0.32003564,-2.6066928,-1.7882173,2.7479305,-2.17256,-0.27164593,-0.21364196,2.2176003,0.45429388,2.8875988,-3.2672577,-2.6703293,0.62152946,0.4969881,-1.2922577,0.9768605,-2.124149,2.1911438,0.835997,3.9324934,0.89493227,1.365281,0.9113759,-0.50900716,2.9201734,3.4257023,-0.80055076,-2.7677262,-2.3357105,OR,1
OR021@6_2,2.5433984,0.418231,1.9932069,0.3347157,-2.650644,-1.8099068,2.7129629,-2.2528362,-0.23171285,-0.22596194,2.2253916,0.5192392,2.9396021,-3.2763612,-2.7237213,0.5959196,0.46212465,-1.3075663,1.019182,-2.1757858,2.1919558,0.8134349,3.9633927,0.9606091,1.3407323,0.9319361,-0.56655604,3.0100152,3.4920464,-0.7072701,-2.7304227,-2.294663,OR,2
OR021@6_3,2.5189972,0.44096085,1.9690189,0.3197768,-2.674034,-1.855407,2.6983743,-2.2913947,-0.2715356,-0.17558816,2.27934,0.5432593,2.9314551,-3.3143451,-2.752194,0.6132926,0.38858154,-1.2607542,1.0651597,-2.2085292,2.264787,0.8028745,4.0047655,0.9397011,1.3240693,0.96741694,-0.5159176,3.043177,3.5654953,-0.70963717,-2.7914867,-2.3078828,OR,3
